Date,Value2b,Value3b,Value4b,Value5b
2013-01-31,,,,
2013-02-28,-0.0006671114076051143,0.0011123470522802492,-0.018342391304347783,-0.0036961253809316696
2013-03-31,0.04472630173564762,0.022222222222222143,0.02422145328719716,0.025088376279762903
2013-04-30,-0.015974440894568676,-0.022826086956521774,0.020202702702702746,-0.040890054029860234
2013-05-31,0.03766233766233773,0.05561735261401557,0.02589575468574079,-0.00022222222222223476
2013-06-30,-0.01126408010012514,0.0,0.032278889606197625,-0.022449433207379466
2013-07-31,0.0113924050632912,0.043203371970495175,-0.0028142589118198558,-0.0029558890404729476
2013-08-31,-0.01126408010012514,-0.04141414141414146,0.0023988711194731227,-0.01984036488027363
2013-09-30,0.0113924050632912,0.0010537407797681642,-0.00520857772981087,0.009539320614239122
2013-10-31,0.12639549436795994,-0.015789473684210575,-0.012578616352201255,0.03257663056003679
2013-11-30,-0.045544950499449954,0.004812834224598994,0.0028662420382166154,0.004385818072248915
2013-12-31,-0.013678696158323622,-0.04204364023416707,-0.0028580501746586773,-0.00022222222222223476
2014-01-31,0.0020655060489820354,-0.0033333333333332993,-0.04936305732484081,0.019759946654812177
2014-02-28,0.0,0.0,0.004690117252931225,0.012546045031495812
2014-03-31,-0.0341578327444052,0.0022296544035673715,0.05943647882627534,-0.03131229200122265
2014-04-30,0.023170731707317094,0.10122358175750845,0.006530804941380142,-0.022666666666666613
2014-05-31,-0.04649582836710364,-0.04141414141414146,0.0,0.05684402000909494
2014-06-30,0.036887961099513644,0.0,0.04389931207004372,-0.033283132530120496
2014-07-31,0.0,0.0,0.010112659096151111,0.06514143279994666
2014-08-31,0.02350813743218816,-0.052687038988408874,0.007665732544519077,0.002507312996238964
2014-09-30,-0.058892815076560634,-0.04449388209121241,-0.090641553855209,-0.002501042100875317
2014-10-31,-0.03191489361702127,0.03899883585564612,0.0012944983818770073,0.023401587964897663
2014-11-30,-0.040723981900452455,-0.0028011204481792618,-0.0827407886231416,0.0
2014-12-31,-0.058625336927223715,-0.101123595505618,0.12684989429175486,0.010391996733360553
2015-01-31,0.0007158196134573469,0.0618749999999999,0.1844590368980612,0.010689244074440829
2015-02-28,-0.07010014306151646,0.05591524426133021,0.0033263813722643754,0.0
2015-03-31,0.011538461538461497,-0.0022296544035674826,0.07827917379292204,0.019233076092606716
2015-04-30,0.049429657794676896,-0.04525139664804467,0.019521717911176184,-0.02251863475872895
2015-05-31,0.011594202898550732,-0.0064365125804564105,-0.08812829104834852,-0.034997591908813575
2015-06-30,0.0007163323782235498,0.011778563015312216,0.0179012021628433,-0.006134586591249325
2015-07-31,-0.06943450250536864,-0.010477299185098987,0.02578648788035065,0.06710187684388935
2015-08-31,0.0,0.057647058823529385,0.0,0.024852941176470633
2015-09-30,0.030000000000000027,0.0,-0.0251382604323781,0.018969723059262478
2015-10-31,-0.10530246452576553,-0.05450500556173521,0.030634347601856682,0.013537618055164291
2015-11-30,-0.1652754590984975,0.0,-0.04678742994395513,0.018525379770285344
2015-12-31,0.06800000000000006,0.0,0.024384482125045848,-0.01818843215714805
2016-01-31,-0.009363295880149836,0.05750588235294107,0.05667870961129484,-0.0189885142645424
2016-02-29,0.037807183364839236,0.00013349946600205165,-0.03537913140473825,0.04934000566518737
2016-03-31,-0.0009107468123861207,-0.04082313681868743,0.003016591251885359,0.0
2016-04-30,0.09206927985414759,-0.007306041980749134,0.02848370927318289,-0.023175292165606654
2016-05-31,0.1669449081803005,0.016355140186915973,-0.03524910750185806,-0.02235630066322769
2016-06-30,0.0,0.0,-0.00858802727961605,0.04053970018750053
2016-07-31,0.07224606580829751,-0.012643678160919491,0.0033121019108279803,-0.011550623168615881
2016-08-31,0.03935957304869908,0.0,-0.01015744032503807,0.029314767314034373
2016-09-30,-0.05071245186136075,-0.011641443538998875,0.010261672652642329,-0.029921680313278798
2016-10-31,-0.12102177837578343,0.0,0.002539360081259545,0.009192829226224442
2016-11-30,0.07538461538461538,-0.011778563015312105,0.010486322188449915,0.010727272727272696
2016-12-31,-0.03505007153075823,0.011918951132300348,-0.03795056900787086,0.007015650296815945
2017-01-31,-0.036323202372127494,0.058892815076560634,-0.02084418968212609,-0.07129331904251524
2017-02-28,0.07538461538461538,-0.021134593993325956,0.03219797764768484,-7.693935255537188e-05
2017-03-31,0.015021459227467782,0.014204545454545414,0.018303686517143536,-0.008560161585072668
2017-04-30,-0.014094432699083836,0.007282913165266081,-0.014177215189873471,-0.0058401241753976985
2017-05-31,0.07576840600428869,-0.00013348164627369208,0.021828454031843858,-0.004508284705009857
2017-06-30,0.018006644518272497,0.00013349946600205165,0.008042221663734583,-0.0197616060225847
2017-07-31,0.016904901768814096,0.03720800889877651,-0.003241087010720567,-4.000000000004e-06
2017-08-31,-0.056482670089858744,-0.029438575794948796,0.054527263631815925,0.0
